,date,fiz_long,fiz_short,yur_long,yur_short,oi
210,2016-11-29,284591,66878,75048,292761,719278
211,2016-12-06,123177,248926,197283,71534,640920
212,2016-12-13,159635,194448,143522,108709,606314
213,2016-12-20,134435,247880,194490,81045,657850
214,2017-01-03,82587,162952,214782,134417,594738
215,2017-01-10,206799,136444,97718,168073,609034
216,2017-01-17,135535,183445,143041,95131,557152
217,2017-01-24,140896,158589,115170,97477,512132
218,2017-01-31,114122,279795,292583,126910,813410
219,2017-02-07,201760,147533,18426,72653,440372
220,2017-02-14,119614,191840,124613,52387,488454
221,2017-02-21,91574,265569,242870,68875,668888
222,2017-02-28,124832,134125,97327,88034,444318
223,2017-03-07,120101,164824,103722,58999,447646
224,2017-03-14,231021,100569,127821,258273,717684
225,2017-03-21,225382,136722,134332,222992,719428
226,2017-03-28,196700,177298,127806,147208,649012
227,2017-04-04,120120,217524,170827,73423,581894
228,2017-04-11,121272,277487,216602,60387,675748
229,2017-04-18,153831,230991,148254,71094,604170
230,2017-04-25,332672,95789,39618,276501,744580
231,2017-05-02,293043,52341,33438,274140,652962
232,2017-05-16,321357,89133,82736,314960,808186
233,2017-05-23,250514,122155,20020,148379,541068
234,2017-05-30,317861,95054,176416,399223,988554
235,2017-06-06,379794,67657,30736,342873,821060
236,2017-06-13,397188,64853,35640,367975,865656
237,2017-06-20,563980,68012,160140,656108,1448240
238,2017-06-27,440689,158492,150926,433123,1183230
239,2017-07-04,150993,303425,219549,67117,741084
240,2017-07-11,250188,162198,82242,170232,664860
241,2017-07-18,232008,143458,37526,126076,539068
242,2017-07-25,175420,287120,175668,63968,702176
243,2017-08-01,174674,196377,148677,126974,646702
244,2017-08-08,111731,231118,201453,82066,626368
245,2017-08-15,299726,152004,33972,181694,667396
246,2017-08-22,152145,204018,156529,104656,617348
247,2017-08-29,217935,155838,126345,188442,688560
248,2017-09-05,135002,252011,165287,48278,600578
249,2017-09-12,111251,324568,270399,57082,763300
250,2017-09-19,106791,391791,364159,79159,941900
251,2017-09-26,114887,503009,495647,107525,1221068
252,2017-10-03,162773,256770,151813,57816,629172
253,2017-10-10,137465,331462,263897,69900,802724
254,2017-10-17,154745,291917,211532,74360,732554
